Major,Specific,Active Support,Security Support,EType,HType,LTS
10,22H2,1,1,1,0,0
10,22H2,1,1,0,1,0
11,22H2,1,1,1,0,0
11,22H2,1,1,0,1,0
10,21H2,1,1,0,0,1
10,21H2,1,1,0,0,1
10,21H2,1,1,1,0,0
10,21H2,0,0,0,1,0
11,21H2,1,1,1,0,0
11,21H2,2,2,0,1,0
10,21H1,0,0,1,1,0
10,20H2,0,0,1,0,0
10,20H2,0,0,0,1,0
10,2004,0,0,1,1,0
10,1909,0,0,1,0,0
10,1909,0,0,0,1,0
10,1903,0,0,1,1,0
10,1809,1,1,0,0,1
10,1809,0,0,1,0,0
10,1809,0,0,0,1,0
10,1803,0,0,1,0,0
10,1803,0,0,0,1,0
10,1709,0,0,1,0,0
10,1709,0,0,0,1,0
10,1703,0,0,1,0,0
10,1703,0,0,0,1,0
10,1607,0,1,0,0,1
10,1607,0,0,1,0,0
10,1607,0,0,0,1,0
10,1511,0,0,1,1,0
10,1507,0,1,0,0,1
10,1507,0,0,1,1,0
8,,0,0,0,0,0
8,,0,0,0,0,0
7,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
